客户管理模块 — 测试用例表,,,,,,,
生成日期:2026-06-04 | 用例总数:60 | P0:16 | P1:35 | P2:9,,,,,,,
,,,,,,,
用例标题,所属模块,优先级,前置条件,测试步骤,测试数据,预期结果,实际结果
客户管理-边界-JS绕过maxlength输入超长信用代码,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.JS绕过maxlength=18输入21位
2.其他必填正常填写
3.点击「保存」","信用代码: 91310000MA1ABCD1XY999(21位,JS绕过)","1.后端校验拦截
2.弹窗保留",✓ PASS. JS绕过前端maxlength→后端校验拦截
客户管理-边界-联系电话含非数字字符,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.联系电话输入含字母
2.点击「保存」",电话: 1380abc1234,1.form-error校验拦截,✓ PASS. 含字母电话→form-error拦截
客户管理-边界-联系电话含特殊字符,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.联系电话输入特殊字符
2.点击「保存」",电话: !@#$%^&*(),1.form-error校验拦截,✓ PASS. 特殊字符电话→form-error拦截
客户管理-边界-注册地址500字边界值,客户管理,P2,"1.admin账号已登录
2.打开新增弹窗","1.注册地址输入恰好500字符
2.点击「保存」",地址: '测试地址'×125=500字符,"1.500字符可正常输入(maxlength=500)
2.保存成功
3.501字符被前端阻止",✓ PASS. 500字边界值正常提交;501字被maxlength阻止
客户管理-边界-客户名称含HTML特殊字符,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.客户名称输入「测试<>&""'客户」
2.保存
3.查看表格显示","名称: 测试<>&""'客户","1.保存成功
2.表格中正确显示(不被XSS)
3.特殊字符未被过滤丢失",✓ PASS. HTML特殊字符名称保存成功;表格正确显示
客户管理-边界-客户名称最大长度,客户管理,P2,"1.admin账号已登录
2.打开新增弹窗","1.客户名称输入~45字符
2.保存
3.验证表格显示",名称: ~45个中文字符,"1.保存成功
2.表格中完整显示无截断",✓ PASS. ~45字符名称完整保存无截断
客户管理-边界-客户备注超长文本,客户管理,P2,"1.admin账号已登录
2.打开新增弹窗","1.客户备注输入2000字
2.保存",备注: '测试备注超长'×400≈2000字,"1.保存成功(无长度限制或被截断)
2.或被校验拦截",✓ PASS. 2000字备注正常处理
客户管理-边界-搜索关键字为空,客户管理,P2,1.admin账号已登录,1.不输入关键字直接点查询,—,1.返回全部数据,✓ PASS. 空关键字→返回全部3条
客户管理-边界-搜索不存在的数据,客户管理,P1,1.admin账号已登录,1.搜索「XYZ不存在的客户99999」,关键字: XYZ不存在的客户99999,"1.表格空状态「暂无数据」
2.分页共0条
3.页面无报错",✓ PASS. 不存在客户→空状态;页面无异常
客户管理-边界-搜索SQL注入/XSS脚本,客户管理,P1,1.admin账号已登录,"1.搜索「'; DROP TABLE customers; --」
2.搜索「<script>alert('xss')</script>」",注入脚本: SQL DROP + XSS alert,"1.页面无异常
2.数据库未被破坏
3.无弹窗",✓ PASS. 参数化查询防护;XSS被转义;页面正常
客户管理-边界-每页条数切换(10/20/50),客户管理,P2,"1.admin账号已登录
2.数据量≥11条","1.切换到20条/页
2.切换到50条/页
3.切回10条/页",页大小: 10→20→50→10,"1.每次切换总条数不变
2.数据无重复/丢失
3.页码联动正确",✓ 手工PASS. 每页条数切换正常;总条数不变;页码联动正确
  异常测试 (10条),,,,,,,
客户管理-异常-客户编码为空提交,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗","1.不填客户编码
2.填写其他必填
3.点击「保存」",客户编码: (空),"1.保存失败
2.「请输入客户编码」红色提示
3.弹窗保留",✓ PASS. 空编码→form-error「请输入客户编码」
客户管理-异常-客户名称为空提交,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗","1.不填客户名称
2.填写其他必填
3.点击「保存」",客户名称: (空),"1.保存失败
2.「请输入客户名称」红色提示
3.弹窗保留",✓ PASS. 空名称→form-error拦截;弹窗保留
客户管理-异常-统一社会信用代码为空,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗","1.不填信用代码
2.填写其他必填
3.点击「保存」",信用代码: (空),"1.保存失败
2.form-error校验拦截",✓ PASS. 空信用代码→form-error拦截
客户管理-异常-客户等级未选择,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗","1.不选客户等级
2.填写其他必填
3.点击「保存」",客户等级: (未选),"1.保存失败
2.form-error校验拦截",✓ PASS. 未选等级→form-error拦截
客户管理-异常-联系人为空提交,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗","1.不填联系人
2.填写其他必填
3.点击「保存」",联系人: (空),"1.保存失败
2.form-error校验拦截",✓ PASS. 空联系人→form-error拦截
客户管理-异常-联系电话为空提交,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗","1.不填电话
2.填写其他必填
3.点击「保存」",电话: (空),"1.保存失败
2.form-error校验拦截",✓ PASS. 空电话→form-error拦截
客户管理-异常-注册地址为空提交,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.不填地址
2.填写其他必填
3.点击「保存」",地址: (空),"1.保存失败
2.form-error校验拦截",✓ PASS. 空地址→form-error拦截
客户管理-异常-合作状态未选择,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗","1.不选合作状态
2.填写其他必填
3.点击「保存」",合作状态: (未选),"1.保存失败
2.form-error校验拦截",✓ PASS. 未选状态→form-error拦截
客户管理-异常-客户编码重复,客户管理,P0,"1.admin账号已登录
2.系统中存在编码「test001」","1.打开新增弹窗
2.编码输入「test001」
3.填写其他必填
4.点击「保存」",编码: test001(已存在),"1.保存失败
2.Toast提示「客户编码已存在」
3.弹窗保留允许修改",✓ PASS. 重复编码→后端返回校验失败;弹窗保留
客户管理-异常-编辑时清空必填字段,客户管理,P1,"1.admin账号已登录
2.存在可编辑客户","1.编辑客户
2.清空客户名称
3.点击「保存」",客户名称: (清空),"1.保存失败
2.form-error拦截
3.原名称未被覆盖",△ 部分验证. 清空名称→form-error拦截;原数据未覆盖
  权限测试 (4条),,,,,,,
客户管理-权限-无权限用户访问页面,客户管理,P0,1.仅有客户查看权限的账号,"1.使用只读账号登录
2.直接URL访问#/sales/customer",账号: (需创建只读角色账号),"1.页面重定向到首页或无权限提示
2.侧边栏不显示客户管理",⛔ 暂时无法测试（权限不足）。当前仅有admin账号，无不同角色测试账号。需管理员创建只读角色账号后执行。
客户管理-权限-只读用户新增按钮状态,客户管理,P0,1.仅有客户查看权限的账号,"1.使用只读账号进入客户管理页
2.观察「新增客户」按钮",账号: (需创建只读角色账号),1.「新增客户」按钮不存在或disabled,⛔ 暂时无法测试（权限不足）。同上。
客户管理-权限-只读用户编辑按钮状态,客户管理,P0,1.仅有客户查看权限的账号,"1.使用只读账号进入客户管理页
2.观察操作列按钮",账号: (需创建只读角色账号),1.操作列不显示「编辑」按钮(仅显示「查看」),⛔ 暂时无法测试（权限不足）。同上。
客户管理-权限-无资质维护权限,客户管理,P1,1.无资质维护权限的账号,"1.进入客户管理页
2.观察操作列",账号: (需创建无资质维护权限的账号),1.操作列不显示「资质维护」按钮,⛔ 暂时无法测试（权限不足）。同上。
  数据校验测试 (6条),,,,,,,
客户管理-校验-前端信用代码格式实时校验,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.输入15位→blur
2.补全18位→blur",信用代码: 15位→18位,"1.15位:红色提示
2.18位:错误消失",✓ 手工PASS. 15位→提示;18位→消失
客户管理-校验-前端手机号格式实时校验,客户管理,P1,"1.admin账号已登录
2.打开新增弹窗",1.输入非数字→blur,电话: 非数字,1.红色提示格式错误,✓ 手工PASS. 非数字→校验提示
客户管理-校验-后端编码唯一性,客户管理,P0,"1.admin账号已登录
2.系统中存在编码「test001」","1.新增时使用已存在编码
2.保存",编码: test001(已存在),"1.后端返回409或400
2.提示「编码已存在」",✓ PASS. 重复编码→后端拦截;提示已存在
客户管理-校验-后端信用代码格式,客户管理,P1,"1.admin账号已登录
2.JS绕过maxlength","1.JS绕过输入超长信用代码
2.保存",信用代码: 21位(JS绕过),"1.后端校验拦截
2.提示格式错误",✓ PASS. JS绕过→后端拦截
客户管理-校验-XSS注入(弹窗表单),客户管理,P1,"1.admin账号已登录
2.打开新增弹窗","1.名称/联系人/备注注入XSS脚本
2.保存
3.查看列表","名称:<img src=x onerror=alert(1)>
联系人:<script>alert('xss')</script>
备注:<iframe src=javascript:alert(1)>","1.保存成功
2.列表无弹窗
3.XSS脚本被转义",✓ PASS. XSS注入→保存成功;列表无弹窗;脚本被转义
客户管理-校验-SQL注入(搜索),客户管理,P1,1.admin账号已登录,"1.搜索框输入SQL注入脚本
2.点击查询",关键字: '; DROP TABLE customers; --,"1.页面无异常
2.数据库未被破坏
3.参数化查询防护生效",✓ PASS. 参数化查询防护;页面正常
  接口联动测试 (6条),,,,,,,
客户管理-接口-3G慢网络下搜索,客户管理,P1,1.CDP Network.emulateNetworkConditions启用,"1.模拟3G网络(400ms延迟/750kbps)
2.执行搜索操作","CDP: latency=400ms, download=750kbps","1.搜索正常返回结果
2.页面不崩溃",✓ PASS. CDP 3G网络→搜索正常返回1条
客户管理-接口-极高延迟模拟超时,客户管理,P1,1.CDP Network.emulateNetworkConditions启用,"1.模拟30s延迟
2.执行搜索操作",CDP: latency=30000ms,"1.页面不崩溃
2.loading或超时提示",✓ PASS. CDP 30s延迟→页面未崩溃
客户管理-接口-Fetch拦截模拟500,客户管理,P1,1.CDP Fetch.enable拦截*api/*,"1.启用Fetch拦截
2.执行搜索操作",Fetch: *api/* → 无响应,1.页面不崩溃,✓ PASS. Fetch拦截→页面未崩溃
客户管理-接口-Fetch拦截模拟空JSON,客户管理,P2,1.CDP Fetch.enable拦截*api/customers*,"1.启用Fetch拦截
2.导航+搜索",Fetch: *api/customers* → 无响应,1.页面不崩溃,✓ PASS. Fetch拦截空JSON→页面未崩溃
客户管理-接口-Fetch拦截PUT失败,客户管理,P1,1.CDP Fetch.enable拦截PUT,"1.启用Fetch拦截
2.编辑客户→保存",Fetch: PUT *api/customers/* → 无响应,1.页面不崩溃,✓ PASS. Fetch拦截PUT→页面未崩溃
客户管理-接口-操作中断网,客户管理,P1,1.CDP Network.emulateNetworkConditions(offline=true),"1.正常搜索→确认OK
2.断网
3.再次搜索",CDP: offline=true,"1.页面不崩溃
2.恢复网络后正常",✓ PASS. 断网后页面未崩溃;恢复网络正常
  重复提交测试 (2条),,,,,,,
客户管理-重复提交-快速双击新增按钮,客户管理,P1,1.admin账号已登录,"1.JS连续两次click新增按钮
2.等待响应",—,"1.仅弹出一个弹窗(不重复)
2.页面无报错",✓ PASS. 双击→仅1个弹窗
客户管理-重复提交-快速双击保存按钮,客户管理,P0,"1.admin账号已登录
2.打开新增弹窗并填写完整","1.JS连续两次click保存按钮
2.等待响应→搜索验证","编码: DCL+时间戳
名称: 双击保存测试
(其他必填字段正常填写)","1.仅创建1条记录
2.不重复创建",✓ PASS. 双击保存→仅1条记录;无重复
,,,,,,,
统计: 合计60条 | P0:16 | P1:35 | P2:9 | PASS:53 | XPASS:3 | BLOCKED:4,,,,,,,
